Country,Latitude,Longitude,Economic_status,Waste_generation_rate_kg/person/day,,%_Plastic_in_waste_stream,%_littered_waste,Waste_generation_kg_day,Plastic_waste_generation_kg_day,Inadequately_managed_plastic_waste_kg_day,Plastic_waste_littered_kg_day,Mismanaged_plastic_waste_kg_person_day,Mismanaged_plastic_waste_2010_tonnes
Russia,62,105,UMI,1,12,16,2,10055659,1201651,197226,24033,0,80759
Saint Helena,-16,-6,UMI,1,12,25,2,8207,981,244,20,0,96
Saint Kitts and Nevis,17,-63,UMI,5,12,6,2,196756,23512,1489,470,0,715
Saint Lucia,14,-61,UMI,4,12,20,2,710037,84849,16683,1697,0,6709
Saint Maarten DWI,18,-63,HIC,2,12,0,2,78601,9393,3,188,0,70
Saint Pierre,47,-56,HIC,2,12,0,2,12365,1478,0,30,0,11
Saint Vincent and the Grenadines,13,-61,UMI,2,13,21,2,204253,26451,5621,529,0,2245
Samoa,-14,-172,LMI,1,13,80,2,132740,17190,13688,344,0,5122
Sao Tome and Principe,0,7,LMI,1,13,81,2,129355,16751,13587,335,0,5081
Saudi Arabia,24,45,HIC,1,12,8,2,4671512,558246,45142,11165,0,20552
Senegal,15,-17,LMI,1,13,82,2,6418800,831235,681376,16625,0,254770
Seychelles,-5,55,UMI,3,12,37,2,272256,32535,12005,651,0,4619
Sierra Leone,8,-12,LI,0,9,84,2,1299158,116275,97423,2325,0,36408
Singapore,1,104,HIC,1,13,0,2,6693816,866849,393,17337,0,6472
Slovenia,46,15,HIC,1,12,1,2,407279,48670,550,973,0,556
Solomon Islands,-10,160,LMI,1,13,86,2,488756,63294,54608,1266,0,20394
Somalia,5,46,LI,1,9,85,2,3582701,320652,271753,6413,0,101531
South Africa,-31,23,UMI,2,12,54,2,25798402,3082909,1664382,61658,0,630005
Spain,40,-4,HIC,2,13,0,2,48503269,6281173,0,125623,0,45853
Sri Lanka,8,81,LMI,5,7,82,2,74297687,5163689,4256120,103274,0,1591179
Sudan,13,30,LMI,1,13,80,2,594498,76987,61277,1540,0,22928
Suriname,4,-56,UMI,1,12,15,2,547078,65376,9493,1308,0,3942
Svalbard,78,21,LMI,1,13,0,2,1759,228,0,5,0,2
Sweden,60,19,HIC,2,3,0,2,9985597,294575,0,5892,0,2150
