Year,Trade Flow,Reporter,exportLat,exportLong,Partner,importLat,importLong,Commodity,Qty Unit,Qty,Netweight (kg),Trade Value (US$)
2016,Export,USA,37.09024,-95.712891,Hungary,47.162494,19.5033041,"Waste, parings and scrap, of plastics",Weight in kilograms,119214,119214,41255
2016,Import,USA,37.09024,-95.712891,Ukraine,48.379433,31.1655799,"Waste, parings and scrap, of plastics",Weight in kilograms,115605,115605,57475
2016,Import,USA,37.09024,-95.712891,Russian Federation,61.52401,105.318756,"Waste, parings and scrap, of plastics",Weight in kilograms,110414,110414,98449
2016,Export,USA,37.09024,-95.712891,Czechia,49.817492,15.472962,"Waste, parings and scrap, of plastics",Weight in kilograms,108555,108555,173395
2016,Import,USA,37.09024,-95.712891,Saudi Arabia,23.885942,45.079162,"Waste, parings and scrap, of plastics",Weight in kilograms,100000,100000,54253
2016,Import,USA,37.09024,-95.712891,Slovenia,46.151241,14.995463,"Waste, parings and scrap, of plastics",Weight in kilograms,97569,97569,52739
2016,Export,USA,37.09024,-95.712891,Nicaragua,12.865416,-85.207229,"Waste, parings and scrap, of plastics",Weight in kilograms,87862,87862,196737
2016,Import,USA,37.09024,-95.712891,Chile,-35.675147,-71.542969,"Waste, parings and scrap, of plastics",Weight in kilograms,85385,85385,84055
2016,Import,USA,37.09024,-95.712891,Morocco,31.791702,-7.09262,"Waste, parings and scrap, of plastics",Weight in kilograms,80880,80880,43675
2016,Import,USA,37.09024,-95.712891,Finland,61.92411,25.7481511,"Waste, parings and scrap, of plastics",Weight in kilograms,70854,70854,65500
2016,Export,USA,37.09024,-95.712891,Cayman Isds,19.3133,-81.2546,"Waste, parings and scrap, of plastics",Weight in kilograms,70193,70193,375517
2016,Export,USA,37.09024,-95.712891,Brazil,-14.235004,-51.92528,"Waste, parings and scrap, of plastics",Weight in kilograms,68023,68023,85258
2016,Export,USA,37.09024,-95.712891,Saudi Arabia,23.885942,45.079162,"Waste, parings and scrap, of plastics",Weight in kilograms,67899,67899,38913
2016,Import,USA,37.09024,-95.712891,Switzerland,46.818188,8.227512,"Waste, parings and scrap, of plastics",Weight in kilograms,63414,63414,353836
2016,Export,USA,37.09024,-95.712891,Heard Island and McDonald Islands,-53.08181,73.504158,"Waste, parings and scrap, of plastics",Weight in kilograms,57000,57000,15000
2016,Export,USA,37.09024,-95.712891,Georgia,41.79443,44.76023,"Waste, parings and scrap, of plastics",Weight in kilograms,55161,55161,34454
2016,Export,USA,37.09024,-95.712891,Austria,47.516231,14.550072,"Waste, parings and scrap, of plastics",Weight in kilograms,49119,49119,23810
2016,Export,USA,37.09024,-95.712891,United Arab Emirates,23.424076,53.847818,"Waste, parings and scrap, of plastics",Weight in kilograms,48693,48693,47347
2016,Import,USA,37.09024,-95.712891,Oman,21.4735329,55.975413,"Waste, parings and scrap, of plastics",Weight in kilograms,47772,47772,36263
2016,Import,USA,37.09024,-95.712891,Iraq,33.223191,43.679291,"Waste, parings and scrap, of plastics",Weight in kilograms,43200,43200,26000
2016,Import,USA,37.09024,-95.712891,United Arab Emirates,23.424076,53.847818,"Waste, parings and scrap, of plastics",Weight in kilograms,41968,41968,23228
2016,Export,USA,37.09024,-95.712891,Myanmar,21.916221,95.955974,"Waste, parings and scrap, of plastics",Weight in kilograms,41241,41241,19540
2016,Export,USA,37.09024,-95.712891,Uruguay,-32.522779,-55.765835,"Waste, parings and scrap, of plastics",Weight in kilograms,40709,40709,28960
2016,Re-Export,USA,37.09024,-95.712891,Guatemala,15.783471,-90.230759,"Waste, parings and scrap, of plastics",Weight in kilograms,40000,40000,32720
2016,Export,USA,37.09024,-95.712891,Holy See (Vatican City State),41.902916,12.453389,"Waste, parings and scrap, of plastics",Weight in kilograms,37946,37946,10000
2016,Export,USA,37.09024,-95.712891,Bolivia (Plurinational State of),-16.290154,-63.588653,"Waste, parings and scrap, of plastics",Weight in kilograms,36826,36826,15145
