Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,exportLat,exportLong,Reporter ISO,Partner Code,Partner,importLat,importLong,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,842,USA,37.09024,-95.712891,USA,862,Venezuela,6.42375,-66.58973,VEN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,6230980,,,,6230980,,3483153,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,37.09024,-95.712891,USA,222,El Salvador,13.794185,-88.89653,SLV,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,6038997,,,,6038997,,6592556,,,0
H5,2017,2017,2017,4,0,1,Import,842,USA,37.09024,-95.712891,USA,566,Nigeria,9.081999,8.675277,NGA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,5999220,,,,5999220,,4195776,,,0
H5,2018,2018,2018,4,0,1,Import,842,USA,37.09024,-95.712891,USA,218,Ecuador,-1.831239,-78.183406,ECU,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,5747961,,,,5747961,,4229427,,,0
H5,2017,2017,2017,4,0,1,Import,842,USA,37.09024,-95.712891,USA,620,Portugal,39.399872,-8.224454,PRT,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,5676415,,,,5676415,,2563141,,,0
H5,2018,2018,2018,4,0,1,Import,842,USA,37.09024,-95.712891,USA,862,Venezuela,6.42375,-66.58973,VEN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,5617315,,,,5617315,,3479654,,,0
H5,2018,2018,2018,4,0,1,Import,842,USA,37.09024,-95.712891,USA,490,"Other Asia, nes",34.047863,100.6196553,,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,5585850,,,,5585850,,4040190,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,37.09024,-95.712891,USA,222,El Salvador,13.794185,-88.89653,SLV,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,5570555,,,,5570555,,5140691,,,0
H4,2016,2016,2016,4,0,2,Export,842,USA,37.09024,-95.712891,USA,222,El Salvador,13.794185,-88.89653,SLV,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,5340931,,,,5340931,,4585134,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,37.09024,-95.712891,USA,724,Spain,40.463667,-3.74922,ESP,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,5225300,,,,5225300,,2993098,,,0
H5,2017,2017,2017,4,0,2,Export,842,USA,37.09024,-95.712891,USA,702,Singapore,1.352083,103.819836,SGP,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,5177118,,,,5177118,,1734240,,,6
H5,2018,2018,2018,4,0,1,Import,842,USA,37.09024,-95.712891,USA,608,Philippines,12.879721,121.774017,PHL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,4966159,,,,4966159,,3757024,,,0
H5,2017,2017,2017,4,0,1,Import,842,USA,37.09024,-95.712891,USA,56,Belgium,50.503887,4.469936,BEL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,4822569,,,,4822569,,2589342,,,0
H5,2017,2017,2017,4,0,1,Import,842,USA,37.09024,-95.712891,USA,208,Denmark,56.26392,9.501785,DNK,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,4400295,,,,4400295,,2324719,,,6
H4,2016,2016,2016,4,0,1,Import,842,USA,37.09024,-95.712891,USA,208,Denmark,56.26392,9.501785,DNK,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,4204329,,,,4204329,,2406552,,,0
H5,2018,2018,2018,4,0,2,Export,842,USA,37.09024,-95.712891,USA,586,Pakistan,30.375321,69.345116,PAK,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,4199939,,,,4199939,,1503269,,,0
H4,2016,2016,2016,4,0,1,Import,842,USA,37.09024,-95.712891,USA,566,Nigeria,9.081999,8.675277,NGA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,4171330,,,,4171330,,2641969,,,0
H5,2017,2017,2017,4,0,1,Import,842,USA,37.09024,-95.712891,USA,392,Japan,36.204824,138.252924,JPN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,4123998,,,,4123998,,3336642,,,6
H4,2016,2016,2016,4,0,1,Import,842,USA,37.09024,-95.712891,USA,862,Venezuela,6.42375,-66.58973,VEN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,4027366,,,,4027366,,2046309,,,0
H5,2018,2018,2018,4,0,1,Import,842,USA,37.09024,-95.712891,USA,208,Denmark,56.26392,9.501785,DNK,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,4002336,,,,4002336,,2538678,,,0
